"rho","miss_p","L1_naive_bin","L1_bin","L1_ord_bin","rho_bin_bias","rho_bin_rmse","rho_ord_bias","rho_ord_rmse"
0.3,0.5,0.16864366007199,0.126421599217955,0.0125237441497518,-0.168701264934099,0.182413096521347,-0.0215343484535883,0.0526048661058348
0.6,0.5,0.351208106025399,0.131350991647638,0.0225851200208976,-0.180546098484199,0.194740786498367,-0.0249442176425972,0.0417784946329795
0.3,0.65,0.223281243886411,0.132521586244833,0.00176982638863604,-0.140546320885787,0.165671725515888,0.00131695803796755,0.0617899964813501
0.6,0.65,0.482403324879043,0.382962361462289,0.00144067492337402,-0.362395002729999,0.372715947329598,0.00693030257234117,0.0435282867791833
0.3,0.8,0.284950979699447,0.132295836696424,0.0367168766882536,-0.119206614213834,0.173380382499239,0.0289585839771122,0.0948360972182873
0.6,0.8,0.655537246209846,0.421518448245243,0.0352709228280673,-0.332045776528262,0.352158563919901,0.0405891561540306,0.0702918928503524
