"rho","miss_p","L1_bias_naive","L1_bias_ord","RMSE_naive","RMSE_ord","rho_ord_bias","rho_ord_rmse","coverage","conv_rate"
0,0.5,0.00191152628665983,0.00129254620930265,0.012363125493161,0.0138525234804472,-0.000922256159165474,0.0557212656143784,0.9436,1
0.3,0.5,0.172963285828639,0.0118373883743378,0.0376032395675554,0.0134797434468093,-0.0180810956965753,0.0534060639661575,0.9512,1
0.6,0.5,0.360138679088264,0.0213321772804147,0.0738108205842017,0.0146852807493881,-0.0173733420642125,0.0401555239766783,0.9308,1
0,0.65,0.00476039333446303,0.00612860050118283,0.0143696104342769,0.0186850463763715,0.00816700507811178,0.076768163134094,0.9408,1
0.3,0.65,0.234170570584562,0.00471148808808325,0.0501612849221377,0.0188534575821049,-0.00448817078919816,0.0654011612833468,0.9396,1
0.6,0.65,0.4961515600854,0.00545346310128828,0.100501129881237,0.0193448659127907,0.00188940651725522,0.0454341859092858,0.9404,1
0,0.8,0.00356522995132488,0.0183081662408204,0.0187398624067226,0.0305657036041472,0.00624606548341927,0.109766989525667,0.9364,1
0.3,0.8,0.315006753757588,0.0219049268779315,0.0665741750197717,0.0308386170118636,0.0135439506866485,0.0998448819175333,0.9288,1
0.6,0.8,0.669492870878494,0.0722557156364265,0.135304954657496,0.033775085560059,0.0303945692589477,0.0687776889886897,0.9124,1
